date,price_usd,commodity_name,country,market,price_type,unit
2021-10-01,0.8,Bread (white),Eswatini,Hhohho,RETAIL,800 gms
2021-11-01,0.76,Bread (white),Eswatini,Hhohho,RETAIL,800 gms
2021-12-01,0.74,Bread (white),Eswatini,Hhohho,RETAIL,800 gms
2022-01-01,0.76,Bread (white),Eswatini,Hhohho,RETAIL,800 gms
2022-02-01,0.78,Bread (white),Eswatini,Hhohho,RETAIL,800 gms
2022-03-01,0.79,Bread (white),Eswatini,Hhohho,RETAIL,800 gms
2022-04-01,0.84,Bread (white),Eswatini,Hhohho,RETAIL,800 gms
2022-05-01,0.81,Bread (white),Eswatini,Hhohho,RETAIL,800 gms
2022-06-01,0.81,Bread (white),Eswatini,Hhohho,RETAIL,800 gms
2022-07-01,0.82,Bread (white),Eswatini,Hhohho,RETAIL,800 gms
2022-08-01,0.89,Bread (white),Eswatini,Hhohho,RETAIL,800 gms
2022-09-01,0.85,Bread (white),Eswatini,Hhohho,RETAIL,800 gms
2022-10-01,0.85,Bread (white),Eswatini,Hhohho,RETAIL,800 gms
2022-11-01,0.88,Bread (white),Eswatini,Hhohho,RETAIL,800 gms
2022-12-01,0.89,Bread (white),Eswatini,Hhohho,RETAIL,800 gms
2023-01-01,0.9,Bread (white),Eswatini,Hhohho,RETAIL,800 gms
2023-02-01,0.86,Bread (white),Eswatini,Hhohho,RETAIL,800 gms
2023-03-01,0.84,Bread (white),Eswatini,Hhohho,RETAIL,800 gms
2023-04-01,0.85,Bread (white),Eswatini,Hhohho,RETAIL,800 gms
2023-05-01,0.8,Bread (white),Eswatini,Hhohho,RETAIL,800 gms
2023-06-01,0.82,Bread (white),Eswatini,Hhohho,RETAIL,800 gms
2023-07-01,0.84,Bread (white),Eswatini,Hhohho,RETAIL,800 gms
2023-08-01,0.82,Bread (white),Eswatini,Hhohho,RETAIL,800 gms
2023-09-01,0.81,Bread (white),Eswatini,Hhohho,RETAIL,800 gms
2023-10-01,0.81,Bread (white),Eswatini,Hhohho,RETAIL,800 gms
2023-11-01,0.83,Bread (white),Eswatini,Hhohho,RETAIL,800 gms
2023-12-01,0.82,Bread (white),Eswatini,Hhohho,RETAIL,800 gms
2024-01-01,0.82,Bread (white),Eswatini,Hhohho,RETAIL,800 gms
2024-02-01,0.81,Bread (white),Eswatini,Hhohho,RETAIL,800 gms
2024-03-01,0.81,Bread (white),Eswatini,Hhohho,RETAIL,800 gms
2024-04-01,0.81,Bread (white),Eswatini,Hhohho,RETAIL,800 gms
2024-05-01,0.83,Bread (white),Eswatini,Hhohho,RETAIL,800 gms
2024-06-01,0.83,Bread (white),Eswatini,Hhohho,RETAIL,800 gms
2024-07-01,0.84,Bread (white),Eswatini,Hhohho,RETAIL,800 gms
2024-08-01,0.85,Bread (white),Eswatini,Hhohho,RETAIL,800 gms
2024-09-01,0.87,Bread (white),Eswatini,Hhohho,RETAIL,800 gms
2024-10-01,0.87,Bread (white),Eswatini,Hhohho,RETAIL,800 gms
2024-11-01,0.86,Bread (white),Eswatini,Hhohho,RETAIL,800 gms
2024-12-01,0.85,Bread (white),Eswatini,Hhohho,RETAIL,800 gms
2025-01-01,0.81,Bread (white),Eswatini,Hhohho,RETAIL,800 gms
2025-02-01,0.82,Bread (white),Eswatini,Hhohho,RETAIL,800 gms
2025-03-01,0.82,Bread (white),Eswatini,Hhohho,RETAIL,800 gms
2025-04-01,0.8,Bread (white),Eswatini,Hhohho,RETAIL,800 gms
2025-05-01,0.85,Bread (white),Eswatini,Hhohho,RETAIL,800 gms
2025-06-01,0.86,Bread (white),Eswatini,Hhohho,RETAIL,800 gms
2025-07-01,0.85,Bread (white),Eswatini,Hhohho,RETAIL,800 gms
2025-08-01,0.86,Bread (white),Eswatini,Hhohho,RETAIL,800 gms
2025-09-01,0.87,Bread (white),Eswatini,Hhohho,RETAIL,800 gms
2025-10-01,0.88,Bread (white),Eswatini,Hhohho,RETAIL,800 gms
2014-01-01,0.64,Bread (white),Eswatini,Lubombo,RETAIL,800 gms
2014-02-01,0.68,Bread (white),Eswatini,Lubombo,RETAIL,800 gms
2014-03-01,0.7,Bread (white),Eswatini,Lubombo,RETAIL,800 gms
2014-04-01,0.71,Bread (white),Eswatini,Lubombo,RETAIL,800 gms
2014-05-01,0.72,Bread (white),Eswatini,Lubombo,RETAIL,800 gms
2014-06-01,0.7,Bread (white),Eswatini,Lubombo,RETAIL,800 gms
2014-07-01,0.7,Bread (white),Eswatini,Lubombo,RETAIL,800 gms
2014-08-01,0.7,Bread (white),Eswatini,Lubombo,RETAIL,800 gms
2014-09-01,0.68,Bread (white),Eswatini,Lubombo,RETAIL,800 gms
2014-10-01,0.72,Bread (white),Eswatini,Lubombo,RETAIL,800 gms
2014-11-01,0.72,Bread (white),Eswatini,Lubombo,RETAIL,800 gms
2014-12-01,0.69,Bread (white),Eswatini,Lubombo,RETAIL,800 gms
2015-01-01,0.69,Bread (white),Eswatini,Lubombo,RETAIL,800 gms
2015-02-01,0.69,Bread (white),Eswatini,Lubombo,RETAIL,800 gms
2015-03-01,0.66,Bread (white),Eswatini,Lubombo,RETAIL,800 gms
2015-04-01,0.66,Bread (white),Eswatini,Lubombo,RETAIL,800 gms
2015-05-01,0.66,Bread (white),Eswatini,Lubombo,RETAIL,800 gms
2015-06-01,0.65,Bread (white),Eswatini,Lubombo,RETAIL,800 gms
2015-07-01,0.64,Bread (white),Eswatini,Lubombo,RETAIL,800 gms
2015-08-01,0.62,Bread (white),Eswatini,Lubombo,RETAIL,800 gms
2015-09-01,0.58,Bread (white),Eswatini,Lubombo,RETAIL,800 gms
2015-10-01,0.59,Bread (white),Eswatini,Lubombo,RETAIL,800 gms
2015-11-01,0.56,Bread (white),Eswatini,Lubombo,RETAIL,800 gms
2015-12-01,0.53,Bread (white),Eswatini,Lubombo,RETAIL,800 gms
2016-01-01,0.49,Bread (white),Eswatini,Lubombo,RETAIL,800 gms
2016-02-01,0.5,Bread (white),Eswatini,Lubombo,RETAIL,800 gms
2016-03-01,0.52,Bread (white),Eswatini,Lubombo,RETAIL,800 gms
2016-04-01,0.54,Bread (white),Eswatini,Lubombo,RETAIL,800 gms
2016-05-01,0.52,Bread (white),Eswatini,Lubombo,RETAIL,800 gms
2016-06-01,0.53,Bread (white),Eswatini,Lubombo,RETAIL,800 gms
2016-07-01,0.55,Bread (white),Eswatini,Lubombo,RETAIL,800 gms
2016-08-01,0.58,Bread (white),Eswatini,Lubombo,RETAIL,800 gms
2016-09-01,0.57,Bread (white),Eswatini,Lubombo,RETAIL,800 gms
2016-10-01,0.57,Bread (white),Eswatini,Lubombo,RETAIL,800 gms
2016-11-01,0.57,Bread (white),Eswatini,Lubombo,RETAIL,800 gms
2016-12-01,0.58,Bread (white),Eswatini,Lubombo,RETAIL,800 gms
2017-01-01,0.59,Bread (white),Eswatini,Lubombo,RETAIL,800 gms
2017-02-01,0.6,Bread (white),Eswatini,Lubombo,RETAIL,800 gms
2017-03-01,0.62,Bread (white),Eswatini,Lubombo,RETAIL,800 gms
2017-04-01,0.63,Bread (white),Eswatini,Lubombo,RETAIL,800 gms
2017-05-01,0.64,Bread (white),Eswatini,Lubombo,RETAIL,800 gms
2017-06-01,0.66,Bread (white),Eswatini,Lubombo,RETAIL,800 gms
2017-07-01,0.65,Bread (white),Eswatini,Lubombo,RETAIL,800 gms
2017-08-01,0.64,Bread (white),Eswatini,Lubombo,RETAIL,800 gms
2017-09-01,0.65,Bread (white),Eswatini,Lubombo,RETAIL,800 gms
2017-10-01,0.62,Bread (white),Eswatini,Lubombo,RETAIL,800 gms
2017-11-01,0.6,Bread (white),Eswatini,Lubombo,RETAIL,800 gms
2017-12-01,0.65,Bread (white),Eswatini,Lubombo,RETAIL,800 gms
2018-01-01,0.7,Bread (white),Eswatini,Lubombo,RETAIL,800 gms
2018-02-01,0.76,Bread (white),Eswatini,Lubombo,RETAIL,800 gms
2018-03-01,0.76,Bread (white),Eswatini,Lubombo,RETAIL,800 gms
2018-04-01,0.74,Bread (white),Eswatini,Lubombo,RETAIL,800 gms
2018-05-01,0.72,Bread (white),Eswatini,Lubombo,RETAIL,800 gms
2018-06-01,0.68,Bread (white),Eswatini,Lubombo,RETAIL,800 gms
2018-07-01,0.67,Bread (white),Eswatini,Lubombo,RETAIL,800 gms
2018-08-01,0.64,Bread (white),Eswatini,Lubombo,RETAIL,800 gms
2018-09-01,0.61,Bread (white),Eswatini,Lubombo,RETAIL,800 gms
2018-10-01,0.62,Bread (white),Eswatini,Lubombo,RETAIL,800 gms
2018-11-01,0.64,Bread (white),Eswatini,Lubombo,RETAIL,800 gms
2018-12-01,0.63,Bread (white),Eswatini,Lubombo,RETAIL,800 gms
2019-01-01,0.65,Bread (white),Eswatini,Lubombo,RETAIL,800 gms
2019-02-01,0.65,Bread (white),Eswatini,Lubombo,RETAIL,800 gms
2019-03-01,0.63,Bread (white),Eswatini,Lubombo,RETAIL,800 gms
2019-04-01,0.64,Bread (white),Eswatini,Lubombo,RETAIL,800 gms
2019-05-01,0.62,Bread (white),Eswatini,Lubombo,RETAIL,800 gms
2019-06-01,0.62,Bread (white),Eswatini,Lubombo,RETAIL,800 gms
2019-07-01,0.64,Bread (white),Eswatini,Lubombo,RETAIL,800 gms
2019-08-01,0.59,Bread (white),Eswatini,Lubombo,RETAIL,800 gms
2019-09-01,0.61,Bread (white),Eswatini,Lubombo,RETAIL,800 gms
2019-10-01,0.6,Bread (white),Eswatini,Lubombo,RETAIL,800 gms
2019-11-01,0.61,Bread (white),Eswatini,Lubombo,RETAIL,800 gms
2019-12-01,0.62,Bread (white),Eswatini,Lubombo,RETAIL,800 gms
2020-01-01,0.62,Bread (white),Eswatini,Lubombo,RETAIL,800 gms
2020-02-01,0.6,Bread (white),Eswatini,Lubombo,RETAIL,800 gms
2020-03-01,0.54,Bread (white),Eswatini,Lubombo,RETAIL,800 gms
2020-04-01,0.48,Bread (white),Eswatini,Lubombo,RETAIL,800 gms
2020-05-01,0.5,Bread (white),Eswatini,Lubombo,RETAIL,800 gms
2020-06-01,0.52,Bread (white),Eswatini,Lubombo,RETAIL,800 gms
2020-07-01,0.52,Bread (white),Eswatini,Lubombo,RETAIL,800 gms
2020-08-01,0.5,Bread (white),Eswatini,Lubombo,RETAIL,800 gms
2020-09-01,0.52,Bread (white),Eswatini,Lubombo,RETAIL,800 gms
2020-10-01,0.52,Bread (white),Eswatini,Lubombo,RETAIL,800 gms
2020-11-01,0.6,Bread (white),Eswatini,Lubombo,RETAIL,800 gms
2020-12-01,0.67,Bread (white),Eswatini,Lubombo,RETAIL,800 gms
2021-01-01,0.68,Bread (white),Eswatini,Lubombo,RETAIL,800 gms
2021-02-01,0.68,Bread (white),Eswatini,Lubombo,RETAIL,800 gms
2021-03-01,0.67,Bread (white),Eswatini,Lubombo,RETAIL,800 gms
2021-04-01,0.7,Bread (white),Eswatini,Lubombo,RETAIL,800 gms
2021-05-01,0.73,Bread (white),Eswatini,Lubombo,RETAIL,800 gms
2021-06-01,0.7,Bread (white),Eswatini,Lubombo,RETAIL,800 gms
2021-07-01,0.68,Bread (white),Eswatini,Lubombo,RETAIL,800 gms
2021-08-01,0.67,Bread (white),Eswatini,Lubombo,RETAIL,800 gms
2021-09-01,0.69,Bread (white),Eswatini,Lubombo,RETAIL,800 gms
2021-10-01,0.67,Bread (white),Eswatini,Lubombo,RETAIL,800 gms
2021-11-01,0.64,Bread (white),Eswatini,Lubombo,RETAIL,800 gms
2021-12-01,0.69,Bread (white),Eswatini,Lubombo,RETAIL,800 gms
2022-01-01,0.69,Bread (white),Eswatini,Lubombo,RETAIL,800 gms
2022-02-01,0.71,Bread (white),Eswatini,Lubombo,RETAIL,800 gms
2022-03-01,0.72,Bread (white),Eswatini,Lubombo,RETAIL,800 gms
2022-04-01,0.75,Bread (white),Eswatini,Lubombo,RETAIL,800 gms
2022-05-01,0.7,Bread (white),Eswatini,Lubombo,RETAIL,800 gms
2022-06-01,0.74,Bread (white),Eswatini,Lubombo,RETAIL,800 gms
2022-07-01,0.69,Bread (white),Eswatini,Lubombo,RETAIL,800 gms
2022-08-01,0.79,Bread (white),Eswatini,Lubombo,RETAIL,800 gms
2022-09-01,0.77,Bread (white),Eswatini,Lubombo,RETAIL,800 gms
2022-10-01,0.75,Bread (white),Eswatini,Lubombo,RETAIL,800 gms
2022-11-01,0.78,Bread (white),Eswatini,Lubombo,RETAIL,800 gms
2022-12-01,0.79,Bread (white),Eswatini,Lubombo,RETAIL,800 gms
2023-01-01,0.79,Bread (white),Eswatini,Lubombo,RETAIL,800 gms
2023-02-01,0.75,Bread (white),Eswatini,Lubombo,RETAIL,800 gms
2023-03-01,0.74,Bread (white),Eswatini,Lubombo,RETAIL,800 gms
2023-04-01,0.74,Bread (white),Eswatini,Lubombo,RETAIL,800 gms
2023-05-01,0.71,Bread (white),Eswatini,Lubombo,RETAIL,800 gms
2023-06-01,0.72,Bread (white),Eswatini,Lubombo,RETAIL,800 gms
2023-07-01,0.75,Bread (white),Eswatini,Lubombo,RETAIL,800 gms
2023-08-01,0.72,Bread (white),Eswatini,Lubombo,RETAIL,800 gms
2023-09-01,0.72,Bread (white),Eswatini,Lubombo,RETAIL,800 gms
2023-10-01,0.71,Bread (white),Eswatini,Lubombo,RETAIL,800 gms
2023-11-01,0.73,Bread (white),Eswatini,Lubombo,RETAIL,800 gms
2023-12-01,0.73,Bread (white),Eswatini,Lubombo,RETAIL,800 gms
2024-01-01,0.74,Bread (white),Eswatini,Lubombo,RETAIL,800 gms
2024-02-01,0.73,Bread (white),Eswatini,Lubombo,RETAIL,800 gms
2024-03-01,0.73,Bread (white),Eswatini,Lubombo,RETAIL,800 gms
2024-04-01,0.73,Bread (white),Eswatini,Lubombo,RETAIL,800 gms
2024-05-01,0.75,Bread (white),Eswatini,Lubombo,RETAIL,800 gms
2024-06-01,0.74,Bread (white),Eswatini,Lubombo,RETAIL,800 gms
2024-07-01,0.76,Bread (white),Eswatini,Lubombo,RETAIL,800 gms
2024-08-01,0.77,Bread (white),Eswatini,Lubombo,RETAIL,800 gms
2024-09-01,0.78,Bread (white),Eswatini,Lubombo,RETAIL,800 gms
2024-10-01,0.79,Bread (white),Eswatini,Lubombo,RETAIL,800 gms
2024-11-01,0.78,Bread (white),Eswatini,Lubombo,RETAIL,800 gms
2024-12-01,0.79,Bread (white),Eswatini,Lubombo,RETAIL,800 gms
2025-01-01,0.76,Bread (white),Eswatini,Lubombo,RETAIL,800 gms
2025-02-01,0.77,Bread (white),Eswatini,Lubombo,RETAIL,800 gms
2025-03-01,0.76,Bread (white),Eswatini,Lubombo,RETAIL,800 gms
2025-04-01,0.74,Bread (white),Eswatini,Lubombo,RETAIL,800 gms
2025-05-01,0.77,Bread (white),Eswatini,Lubombo,RETAIL,800 gms
2025-06-01,0.81,Bread (white),Eswatini,Lubombo,RETAIL,800 gms
2025-07-01,0.82,Bread (white),Eswatini,Lubombo,RETAIL,800 gms
2025-08-01,0.82,Bread (white),Eswatini,Lubombo,RETAIL,800 gms
2025-09-01,0.83,Bread (white),Eswatini,Lubombo,RETAIL,800 gms
2025-10-01,0.81,Bread (white),Eswatini,Lubombo,RETAIL,800 gms
2014-01-01,0.79,Bread (white),Eswatini,Manzini,RETAIL,800 gms
2014-02-01,0.77,Bread (white),Eswatini,Manzini,RETAIL,800 gms
2014-03-01,0.79,Bread (white),Eswatini,Manzini,RETAIL,800 gms
2014-04-01,0.81,Bread (white),Eswatini,Manzini,RETAIL,800 gms
2014-05-01,0.82,Bread (white),Eswatini,Manzini,RETAIL,800 gms
2014-06-01,0.8,Bread (white),Eswatini,Manzini,RETAIL,800 gms
2014-07-01,0.79,Bread (white),Eswatini,Manzini,RETAIL,800 gms
2014-08-01,0.8,Bread (white),Eswatini,Manzini,RETAIL,800 gms
2014-09-01,0.77,Bread (white),Eswatini,Manzini,RETAIL,800 gms
2014-10-01,0.77,Bread (white),Eswatini,Manzini,RETAIL,800 gms
2014-11-01,0.81,Bread (white),Eswatini,Manzini,RETAIL,800 gms
2014-12-01,0.78,Bread (white),Eswatini,Manzini,RETAIL,800 gms
2015-01-01,0.77,Bread (white),Eswatini,Manzini,RETAIL,800 gms
2015-02-01,0.77,Bread (white),Eswatini,Manzini,RETAIL,800 gms
2015-03-01,0.74,Bread (white),Eswatini,Manzini,RETAIL,800 gms
2015-04-01,0.75,Bread (white),Eswatini,Manzini,RETAIL,800 gms
2015-05-01,0.75,Bread (white),Eswatini,Manzini,RETAIL,800 gms
2015-06-01,0.76,Bread (white),Eswatini,Manzini,RETAIL,800 gms
2015-07-01,0.75,Bread (white),Eswatini,Manzini,RETAIL,800 gms
2015-08-01,0.73,Bread (white),Eswatini,Manzini,RETAIL,800 gms
2015-09-01,0.69,Bread (white),Eswatini,Manzini,RETAIL,800 gms
2015-10-01,0.7,Bread (white),Eswatini,Manzini,RETAIL,800 gms
2015-11-01,0.67,Bread (white),Eswatini,Manzini,RETAIL,800 gms
2015-12-01,0.63,Bread (white),Eswatini,Manzini,RETAIL,800 gms
2016-01-01,0.57,Bread (white),Eswatini,Manzini,RETAIL,800 gms
2016-02-01,0.6,Bread (white),Eswatini,Manzini,RETAIL,800 gms
2016-03-01,0.61,Bread (white),Eswatini,Manzini,RETAIL,800 gms
2016-04-01,0.64,Bread (white),Eswatini,Manzini,RETAIL,800 gms
2016-05-01,0.61,Bread (white),Eswatini,Manzini,RETAIL,800 gms
2016-06-01,0.62,Bread (white),Eswatini,Manzini,RETAIL,800 gms
2016-07-01,0.65,Bread (white),Eswatini,Manzini,RETAIL,800 gms
2016-08-01,0.68,Bread (white),Eswatini,Manzini,RETAIL,800 gms
2016-09-01,0.67,Bread (white),Eswatini,Manzini,RETAIL,800 gms
2016-10-01,0.67,Bread (white),Eswatini,Manzini,RETAIL,800 gms
2016-11-01,0.68,Bread (white),Eswatini,Manzini,RETAIL,800 gms
2016-12-01,0.68,Bread (white),Eswatini,Manzini,RETAIL,800 gms
2017-01-01,0.76,Bread (white),Eswatini,Manzini,RETAIL,800 gms
2017-02-01,0.77,Bread (white),Eswatini,Manzini,RETAIL,800 gms
2017-03-01,0.82,Bread (white),Eswatini,Manzini,RETAIL,800 gms
2017-04-01,0.79,Bread (white),Eswatini,Manzini,RETAIL,800 gms
2017-05-01,0.8,Bread (white),Eswatini,Manzini,RETAIL,800 gms
2017-06-01,0.82,Bread (white),Eswatini,Manzini,RETAIL,800 gms
2017-07-01,0.81,Bread (white),Eswatini,Manzini,RETAIL,800 gms
2017-08-01,0.8,Bread (white),Eswatini,Manzini,RETAIL,800 gms
2017-09-01,0.81,Bread (white),Eswatini,Manzini,RETAIL,800 gms
2017-10-01,0.78,Bread (white),Eswatini,Manzini,RETAIL,800 gms
2017-11-01,0.76,Bread (white),Eswatini,Manzini,RETAIL,800 gms
2017-12-01,0.8,Bread (white),Eswatini,Manzini,RETAIL,800 gms
2018-01-01,0.87,Bread (white),Eswatini,Manzini,RETAIL,800 gms
2018-02-01,0.9,Bread (white),Eswatini,Manzini,RETAIL,800 gms
2018-03-01,0.9,Bread (white),Eswatini,Manzini,RETAIL,800 gms
2018-04-01,0.88,Bread (white),Eswatini,Manzini,RETAIL,800 gms
2018-05-01,0.85,Bread (white),Eswatini,Manzini,RETAIL,800 gms
2018-06-01,0.8,Bread (white),Eswatini,Manzini,RETAIL,800 gms
2018-07-01,0.8,Bread (white),Eswatini,Manzini,RETAIL,800 gms
2018-08-01,0.76,Bread (white),Eswatini,Manzini,RETAIL,800 gms
2018-09-01,0.72,Bread (white),Eswatini,Manzini,RETAIL,800 gms
2018-10-01,0.74,Bread (white),Eswatini,Manzini,RETAIL,800 gms
2018-11-01,0.75,Bread (white),Eswatini,Manzini,RETAIL,800 gms
2018-12-01,0.75,Bread (white),Eswatini,Manzini,RETAIL,800 gms
2019-01-01,0.77,Bread (white),Eswatini,Manzini,RETAIL,800 gms
2019-02-01,0.77,Bread (white),Eswatini,Manzini,RETAIL,800 gms
2019-03-01,0.74,Bread (white),Eswatini,Manzini,RETAIL,800 gms
2019-04-01,0.75,Bread (white),Eswatini,Manzini,RETAIL,800 gms
2019-05-01,0.74,Bread (white),Eswatini,Manzini,RETAIL,800 gms
2019-06-01,0.73,Bread (white),Eswatini,Manzini,RETAIL,800 gms
